2023-04-30 20:14:41 *	Now talking on #kerthchat
2023-05-01 00:30:30 <Bek>	Such a good story!!!!
2023-05-01 00:31:24 <Sara>	It was a fantastic story!! Well deserved!
2023-05-01 00:31:32 <Darth_Michael>	all in good humor and acceptance speeches are exempt!
2023-05-01 00:31:34 <Sara>	Both of you/all three?
2023-05-01 00:31:34 <KathyB>	Proud of you, Sara!
2023-05-01 00:31:46 <KathyB>	Other Sara haha
2023-05-01 00:31:54 <KSaraSara>	gahhhhhhhhhh
2023-05-01 00:31:58 *	KSaraSara cries
2023-05-01 00:32:01 <KathyB>	(Not that I'm not proud of you, too, Sara, haha)
2023-05-01 00:32:14 <Darth_Michael>	great speech!
2023-05-01 00:32:19 <KSaraSara>	Thank you, everyone!!! *cries some more*
2023-05-01 00:32:27 <Demi2>	I'll be off to bed too, have fun everyone!
2023-05-01 00:32:33 *	Demi2 has quit (Quit: https://mibbit.com Online IRC Client)
2023-05-01 00:32:44 <Darth_Michael>	bye Demi!
2023-05-01 00:32:57 <Sara>	Ha ha! Too many Sara's lol
2023-05-01 00:33:10 <Doranwen>	Truth
2023-05-01 00:33:12 <KSaraSara>	Hee hee
2023-05-01 00:33:39 <KSaraSara>	gahh... I'm not presenting next again, am I? The screen is legit blurry...
2023-05-01 00:33:45 <Doranwen>	It does seem to be a pattern, and yes, you are :)
2023-05-01 00:33:48 <KSaraSara>	gahh
2023-05-01 00:33:50 <Darth_Michael>	they're easy to distinguish. one's the one who wins all the Kerths. the other...no, wait...
2023-05-01 00:33:52 <AnnieM>	dry your eyes, Sara! time to present!
2023-05-01 00:33:56 <Doranwen>	You win, and then you have to present, lol.
2023-05-01 00:34:04 <Darth_Michael>	it's a rule!
2023-05-01 00:34:08 <Darth_Michael>	Annie says so
2023-05-01 00:34:18 <AnnieM>	haha yes, that's the pattern!
2023-05-01 00:34:18 <KSaraSara>	LOL! haha
2023-05-01 00:34:46 <AnnaBtG>	Congrats to Sara and Annie and Kathy! Sorry, was afk for a bit
2023-05-01 00:34:58 <AnnaBtG>	But good job, all of you! <3
2023-05-01 00:35:10 <KSaraSara>	(Thank goodness it's pasting... I can't type... lol)
2023-05-01 00:35:14 <AnnieM>	I'm so excited for these new categories!
2023-05-01 00:35:43 <KathyB>	me too!
2023-05-01 00:36:00 <KathyB>	I love fan art, and especially music videos, so I'm thrilled we added this category 
2023-05-01 00:36:27 <KathyB>	Yay!
2023-05-01 00:36:34 <Bek>	Congrats!!
2023-05-01 00:36:36 <KathyB>	Well deserved, Sara! Great job!
2023-05-01 00:36:40 <Doranwen>	Congrats!
2023-05-01 00:36:44 <Darth_Michael>	Congratulations Sara! (the other one)
2023-05-01 00:36:44 <CRene>	Congrats
2023-05-01 00:36:52 <AnnaBtG>	Yay Sara!! Loved this video!
2023-05-01 00:37:00 <AnnieM>	Hooray! Congrats, Sara! Well deserved. That video was awesome.
2023-05-01 00:37:13 <Songbird2>	Congrats Sara! Great job! Your vid was beautiful! 
2023-05-01 00:37:16 <KSaraSara>	YAY TWINNIE!!!
2023-05-01 00:37:21 <Doranwen>	Sort of in time, lol.  There's all the *other* categories you won as well… <g>
2023-05-01 00:37:39 <KathyB>	Speech! Speech!
2023-05-01 00:39:57 <Darth_Michael>	hear hear!
2023-05-01 00:40:14 <KSaraSara>	Yes!! Agreed!!
2023-05-01 00:40:27 *	Doranwen gives thumbs up
2023-05-01 00:41:01 <Sara>	Lol that was the best I could do as I was braiding Kira's hair at the same time lol
2023-05-01 00:41:01 <KSaraSara>	Awww yep!! Great speech!
2023-05-01 00:41:19 <AnnieM>	Seriously, feedback is absolutely critical for writers
2023-05-01 00:41:25 <Doranwen>	Amen!
2023-05-01 00:41:36 <Doranwen>	I've got some fics written that *only* happened because I had an alpha reader to help out.
2023-05-01 00:41:46 <Doranwen>	And others that haven't been finished due to the lack of one.
2023-05-01 00:41:54 <KSaraSara>	Yes, hear hear! May this category encourage more people! :D
2023-05-01 00:43:35 <Darth_Michael>	Congratulations, Sara!
2023-05-01 00:43:40 <Doranwen>	Congratulations!
2023-05-01 00:43:41 *	Darth_Michael shoves Sara up to stage
2023-05-01 00:43:42 <KSaraSara>	What???
2023-05-01 00:43:42 <KSaraSara>	What???
2023-05-01 00:43:43 <Bek>	Congrats!!!
2023-05-01 00:43:46 <KathyB>	Yay! Congratulations KSaraSara!
2023-05-01 00:43:48 <Toomi>	Congrats!
2023-05-01 00:43:54 <KSaraSara>	Lol I didn't mean to type twice!
2023-05-01 00:43:54 <Songbird2>	Congrats Sara!!!
2023-05-01 00:44:04 <Doranwen>	It seemed natural XD
2023-05-01 00:44:13 <Toomi>	Out of all of the categories, I think this might have been the hardest to vote for.
2023-05-01 00:44:22 <AnnieM>	Totally deserved! I treasure the feedback files you've sent me over the years!
2023-05-01 00:45:07 <Doranwen>	Speech! ;p
2023-05-01 00:45:29 <Darth_Michael>	yeah, when she dug up my Dare and mentioned Feels that was so awesome!
2023-05-01 00:45:31 <Bek>	Without your encouragement, I'd still be lurking...! Very well deserved! Thank you KSaraSara!
2023-05-01 00:45:49 <AnnaBtG>	@Toomi: definitely!! I was so conflicted!!
2023-05-01 00:46:02 <Bek>	And congrats again!
2023-05-01 00:46:57 *	Darth_Michael hangs on by a thread, waiting for the cliffhanger to resolve
2023-05-01 00:47:19 <KathyB>	LOL!
2023-05-01 00:47:35 *	Darth_Michael wonders if Tempus might find it ironic that the best commenter just lost her comments
2023-05-01 00:47:39 <KathyB>	Sure, sure, you're just hoping Superman will come by to save you
2023-05-01 00:47:52 <KSaraSara>	LOL!!
2023-05-01 00:47:53 <Doranwen>	LOL
2023-05-01 00:48:01 <KathyB>	LOL
2023-05-01 00:48:17 <Darth_Michael>	@Kathy: I'm with Jimmy on that one and wait for Ultra Woman :D
2023-05-01 00:48:18 *	Sara has quit (Quit: https://mibbit.com Online IRC Client)
2023-05-01 00:49:10 *	Darth_Michael looks shifty
2023-05-01 00:49:26 <AnnaBtG>	I know from experience that even being nominated in such a category is mostly about "no, thank YOU guys for writing all this fic for me to comment on" :D
2023-05-01 00:50:06 <AnnaBtG>	It's such a love letter to the fandom, this category :)
2023-05-01 00:50:25 <KSaraSara>	Anna: you're so right! 
2023-05-01 00:51:10 *	AnnaBtG glomps Sara!!!
2023-05-01 00:51:14 <AnnaBtG>	Congrats!!!
2023-05-01 00:51:17 <KSaraSara>	awwwwwwww
2023-05-01 00:51:18 *	Doranwen giggles at "questionable browser histories"
2023-05-01 00:51:21 *	KSaraSara hugs her fandom
2023-05-01 00:51:45 <CRene>	Congrats, Sara.  Well deserved
2023-05-01 00:51:51 <Darth_Michael>	someone once mentioend that they wonder when the FBI will come knocking
2023-05-01 00:51:56 <AnnaBtG>	Hahahah I lol'd at that too!
2023-05-01 00:52:04 <AnnieM>	It's so true!
2023-05-01 00:52:24 <AnnieM>	I always want to add THIS IS FOR A STORY to my google searches ;)
2023-05-01 00:52:35 <KSaraSara>	Lol Annie, right?
2023-05-01 00:52:50 <Darth_Michael>	Congrats Annie and Kathy!
2023-05-01 00:52:50 <KSaraSara>	Ahhhh! No surprise and well deserved!!!
2023-05-01 00:52:50 <Doranwen>	Given the other winners, I'm not surprised by this one, lol.
2023-05-01 00:52:59 <Bek>	Congrats!!
2023-05-01 00:53:01 <KathyB>	oh wow!!
2023-05-01 00:53:02 <Songbird2>	Congrats Annie and Kathy!!! 
2023-05-01 00:53:05 <Doranwen>	Congratulations!
2023-05-01 00:53:40 <Toomi>	Congratulations!
2023-05-01 00:53:43 <Toomi>	This has been fantastic! 
2023-05-01 00:53:44 <AnnaBtG>	Congrats Annie and Kathy!!
2023-05-01 00:54:00 <Toomi>	But I now have to run away to work :(
2023-05-01 00:54:02 <AnnaBtG>	Did this story even lose any categories?
2023-05-01 00:54:48 <KSaraSara>	Bye Toomi!! So glad you could join! And congrats!!
2023-05-01 00:54:56 <KSaraSara>	Anna: I think it won everything it was nommed in!
2023-05-01 00:55:19 <Doranwen>	Yeah, I think so!
2023-05-01 00:55:20 <Toomi>	Thank you :D I'll be on cloud nine all night!
2023-05-01 00:55:24 *	Toomi (Mibbit@cloak-71D871AA.cg.shawcable.net) has left
2023-05-01 00:55:26 <Doranwen>	I just scrolled up to check that.
2023-05-01 00:55:57 <AnnaBtG>	Such a well-deserved winner! <3
2023-05-01 00:56:54 <KSaraSara>	Gahhhhh! It's definitely a happy place!! I read parts over and over again...and I have a playlist for WTHW lol
2023-05-01 00:59:26 <KSaraSara>	GAHHH how has it been 25 years of Kerths???
2023-05-01 00:59:58 <Doranwen>	If anyone's feeling nostalgic about IRC, I did open a #loisclark channel on Slashnet if someone feels like chatting old-style once in a while. :)
2023-05-01 01:00:38 <Doranwen>	I'm always on IRC so it's not any trouble to lurk in there.  Just say my nick and I'll see it when I get back to the comp, if I'm not there then. :)
2023-05-01 01:01:09 <KathyB>	Thanks everyone!! This was truly an honor, to be able to be here again, over the course of 25 years!
2023-05-01 01:01:40 <KSaraSara>	Yes, so amazing to be here again!
2023-05-01 01:01:55 *	Voice_Jockey (~Voice@EE219F3D.4377EDD2.D2A17E17.IP) has left (Leaving)
2023-05-01 01:02:20 <Songbird2>	WTHW is also my happy place. Thanks Annie and Kathy for bringing so much joy to my life, when I desperately needed it. I'm looking fore
2023-05-01 01:02:31 <AnnaBtG>	I haven't been here for the full 25 years but it's staggering to even think about!
2023-05-01 01:02:33 <Songbird2>	I'm looking forward to the third story.
2023-05-01 01:03:43 <AnnieM>	I'm hoping all this excitement gets me motivated to work on the third story!
2023-05-01 01:04:43 <Darth_Michael>	the true reason for getting 8? wins - incentive!
2023-05-01 01:06:23 <Darth_Michael>	Thanks to all who attended, voted, and are generally around for all the merriment. 
2023-05-01 01:06:29 <KSaraSara>	Yes! Right, Michael! lol
2023-05-01 01:06:31 <Darth_Michael>	it's been a blast
2023-05-01 01:07:11 <KSaraSara>	I'm off to take a short break and then I'll be on Discord :)
2023-05-01 01:07:14 <Doranwen>	It's motivating me to work more on projects - and then use these fics as my motivation for in between chunks of projects, lol.
2023-05-01 01:07:34 <KSaraSara>	Thanks again, everyone! I'm so happy we had a successful ceremony and Kerth season!!
2023-05-01 01:08:02 *	KSaraSara has quit (Quit: Leaving)
2023-05-01 01:08:10 *	CRene has quit (Quit: https://mibbit.com Online IRC Client)
2023-05-01 01:10:21 <Meadowlark>	Great job, Kerth Comm!  And a big THANKS to all the writers!
2023-05-01 01:11:06 *	Meadowlark (Mibbit@cloak-C85C35F7.mobile.att.net) has left
2023-05-01 01:12:52 *	KathyB has quit (Quit: https://mibbit.com Online IRC Client)
2023-05-01 01:15:33 *	AnnieM has quit (Quit: https://mibbit.com Online IRC Client)
2023-05-01 01:16:06 <Songbird2>	Thanks to everyone who wrote stories last year and to everyone who worked so hard to put on the Kertg Awards! 
2023-05-01 01:16:32 <Songbird2>	Kerth not Kertg. 
2023-05-01 01:17:00 *	Songbird2 has quit (Quit: https://mibbit.com Online IRC Client)
2023-05-01 01:23:54 *	Bek has quit (Quit: Leaving)
2023-05-01 02:10:46 *	Disconnected ()
