2023-04-30 20:14:41 *	Now talking on #kerthawards
2023-05-01 00:06:55 <KSaraSara>	And gahhhh, thank you! Since I was so wrong about this fic in the first place, it doesn't surprised me that... I was a little surprised to find it in the comedy category! LOL! I'll bet Sara wasn't surprised at all! 
2023-05-01 00:08:18 <KSaraSara>	I love inserting a bit of comedy into the WAFFY stuff, and ... well, this one was just so easy to write when I think back on it! The humo(u)rous bits just wrote themselves! 
2023-05-01 00:08:40 <KSaraSara>	Thank you all so much! We're thrilled that you enjoyed the story!! 
2023-05-01 00:08:48 *	KSaraSara hands the mic back to Kathy
2023-05-01 00:09:10 <KathyB>	Thanks, Sara, and Congratulations to all three authors in our second TIE!
2023-05-01 00:09:33 <KathyB>	(After all, we all know Clark loves ties! *ba dum ching!*)
2023-05-01 00:09:42 <KathyB>	But don't go far, Sara ...
2023-05-01 00:10:05 <KathyB>	Because it's now time to highlight our next New Author, SuperBek!
2023-05-01 00:10:23 <KSaraSara>	What’s that in the sky? Is it a bird? A plane? A Superman? Nope... it’s our second and final new author to celebrate tonight — SuperBek! Prolific right out of the gate, SuperBek has given us TWELVE stories in her debut year! Poignant, WaFFy, humorous, dramatic, romantic, and angsty...it seems that SuperBek can do it all! 
2023-05-01 00:10:40 <KSaraSara>	Helping to pioneer Ficlet Friday, she gave us “Conned” (along with the “Absolutely Not” challenge prompt) and had us LOL’ing when... well, I won’t spoil it for you; I’ll just tease you with the prompt:
2023-05-01 00:10:57 *	lovetvfan (Mibbit@cloak-283982CF.cpe.teksavvy.com) has joined
2023-05-01 00:10:57 <KSaraSara>	***** “Absolutely not. No way, Lois. Not a chance. We’re not going to...”
2023-05-01 00:10:57 <KSaraSara>	“Oh come on, Clark, you promised. You said—”
2023-05-01 00:11:07 <KSaraSara>	“What I said is that I’d think about it. I never promised!”
2023-05-01 00:11:07 <KSaraSara>	Lois turned toward him, scowling, and settled her hands on her hips. She had that look about her’that look that said she wasn’t going to give in.
2023-05-01 00:11:15 <KSaraSara>	Clark hung his head in defeat and held out his hand.
2023-05-01 00:11:15 <KSaraSara>	“Okay, well, give it to me then, and let’s get this over with.” 
2023-05-01 00:11:15 <KSaraSara>	“That’s what I thought,” she gloated. *****
2023-05-01 00:11:32 <KSaraSara>	SuperBek can pack heartbreaking and wistful and poignant into a short ficlet, giving you just enough feels for a little appetizer. And yet she can also make a longer (really, really longer) story compelling all the way through with angst and feeeeels for days! 
2023-05-01 00:11:46 <KSaraSara>	She had us all crying for altClark in “Anchor: Part I - Clark Kent”:
2023-05-01 00:11:46 <KSaraSara>	***** Wells furrows his brow for a moment and drums his fingers on the table. He seems to be studying me intently.
2023-05-01 00:11:54 <KSaraSara>	An image of a beautiful face—hers, but not as I’ve ever known it—flashes in my mind. Her smile is bright and carefree, and her long dark hair drapes down around her shoulders, curling softly at the ends. Her deep brown eyes meet mine, and my heart stops. I feel his love for her, stronger than any emotion I’ve ever felt before. The air is sucked out of my lungs again.
2023-05-01 00:12:05 <KSaraSara>	“Wells, please tell me she is okay,” I beg.
2023-05-01 00:12:05 <KSaraSara>	“Oh, sorry, yes, my boy.” He nods quickly. “When I met with her, she was in good health and unharmed, although quite distraught, understandably.”
2023-05-01 00:12:17 <KSaraSara>	Relief washes over me, and I cross my arms over my chest and close my eyes.
2023-05-01 00:12:17 <KSaraSara>	“However,” he says hesitantly, the word sticking to his tongue, “this brings me to the real reason I am here, Clark. You see, this Lois—her world is on the brink of destruction.” I open my eyes and meet his gaze. He is troubled again, worry lines appearing on his forehead and in the wrinkles around his eyes. “When Superman left three months ago, the world quickly fell into chaos. Hope was lost around the globe. Allianc
2023-05-01 00:12:17 <KSaraSara>	es that had been steady and strong for decades began to fall apart. I fear nuclear war may be imminent. And Utopia—it has disappeared from the future.”
2023-05-01 00:12:38 <KSaraSara>	He raises his chin slightly toward me, and I understand what he wants. I absently wonder if he has any other Clarks like me, whom he transports around the multiverse whenever a problem needs fixing. But the image of her face, filled with life and promise, flickers in my mind again, and with a sigh, I resign myself to being Wells’s personal multidimensional handyman.
2023-05-01 00:12:38 <KSaraSara>	“How long will I need to be gone this time?” *****
2023-05-01 00:13:00 *	KSaraSara takes a min to cry for altClark... and pets altClark... it'll be okay!!
2023-05-01 00:13:07 <KSaraSara>	You can check out the full story on the MBs, the archive (soon), or AO3! Welcome to the (non-lurking side of the) fandom, SuperBek, and thank you for sharing your gift of writing!!
2023-05-01 00:13:16 *	KSaraSara hands mic back to Kathy
2023-05-01 00:13:42 <KathyB>	Thank you, Sara, and thank you SuperBek, for joining us in this wonderful fandom!
2023-05-01 00:13:50 <KathyB>	And now, please welcome up Toomi, who will be presenting the award for Best WAFFy Story.
2023-05-01 00:13:58 *	Voice_Jockey gives voice to Toomi
2023-05-01 00:14:31 <Toomi>	The Best Waffy Story category is tied with the most nominations at seven, indicating how much FoLC's love our warm and fuzzy stories.
2023-05-01 00:14:39 <Toomi>	The nominees are:
2023-05-01 00:14:50 <Toomi>	Fade to Black: Seasons Feelings by lovetvfan
2023-05-01 00:15:00 <Toomi>	Frankly My Dear, I don’t like Pearl Jam by lovetvfan and KSaraSara
2023-05-01 00:15:09 <Toomi>	In the Right Now by AnnieM
2023-05-01 00:15:17 <Toomi>	Rainfall by Morgana
2023-05-01 00:15:27 <Toomi>	This Is Not A Date by KSaraSara
2023-05-01 00:15:36 <Toomi>	What the Heart Wants by AnnieM and KathyB
2023-05-01 00:15:37 <Toomi>	and
2023-05-01 00:15:50 <Toomi>	Yours to Discover (for Queen of the Capes) by KSaraSara
2023-05-01 00:16:04 <Toomi>	And the winner is:
2023-05-01 00:16:40 <Toomi>	Another tie! Clark is getting quite the collection tonight!
2023-05-01 00:17:03 <Toomi>	In the Right Now by AnnieM
2023-05-01 00:17:04 <Toomi>	and
2023-05-01 00:17:17 <Toomi>	What the Heart Wants by AnnieM and KathyB
2023-05-01 00:18:03 <AnnieM>	I don't even know what to say to that. I'm literally speechless. Y'all broke me.
2023-05-01 00:18:05 *	Voice_Jockey removes voice from Toomi
2023-05-01 00:19:23 <AnnieM>	I genuinely don't know what to say. Again, I'm really excited to see In the Right Now getting this love. I feel a little bit like it's the oft-forgotten younger siblings, so I love to see it tie here
2023-05-01 00:19:34 <AnnieM>	Thanks so much to everyone for reading and loving both these stories
2023-05-01 00:20:12 *	KathyB points to Annie and encourages double applause. Thank you, everyone.
2023-05-01 00:20:29 <KathyB>	Please welcome Bakasi back to the stage to present the award for Best Dramatic Story.
2023-05-01 00:20:31 *	Voice_Jockey gives voice to bakasi
2023-05-01 00:21:02 <bakasi>	Thank you
2023-05-01 00:21:24 <bakasi>	Dramatic tales have in common that they send you on an emotional roller coaster ride. But even though all our nominated stories are dramatic, they also couldn’t be more different.
2023-05-01 00:21:40 <bakasi>	There’s a Clark who’s suffering from flashbacks and physical injuries after escaping Luthor’s kryptonite cage
2023-05-01 00:22:37 <bakasi>	An Alt-Clark gets a chance to live his life free of the burden that everyone knows his secret, but who has to deal with a grieving Lois who has lost her Clark. 
2023-05-01 00:23:45 <bakasi>	There's jealousy and a lot of turmoil as Lois encountes a past lover
2023-05-01 00:24:00 <bakasi>	There’s a Clark suffering after what he’d had to do on New Krypton and who can’t quite reconnect with his family. And finally, there are a Lois and a Clark who learn to love and trust each other. 
2023-05-01 00:24:05 *	Demi_ has quit (Quit: https://mibbit.com Online IRC Client)
2023-05-01 00:24:37 <bakasi>	The nominees for best dramatic stories are:
2023-05-01 00:24:48 <bakasi>	 Aftershocks by Toomie
2023-05-01 00:24:57 <bakasi>	Anchor Part 1, Clark Kent by SuperBek
2023-05-01 00:25:09 <bakasi>	Federal Disaster by lovetvfan
2023-05-01 00:25:23 <bakasi>	So Far Away by KSaraSara
2023-05-01 00:25:36 <bakasi>	What the Heart Wants by AnnieM and Kathy B
2023-05-01 00:25:58 <bakasi>	And the winner of Best Dramatic story is...
2023-05-01 00:26:13 <bakasi>	We've got another tie
2023-05-01 00:26:41 <bakasi>	But this one's not for you, Clark. It's waaaay too modest
2023-05-01 00:26:43 *	Demi2 (Mibbit@cloak-6C230D3E.dynamic.kabel-deutschland.de) has joined
2023-05-01 00:26:58 <bakasi>	"So Far Away by KSaraSara
2023-05-01 00:27:01 <bakasi>	and
2023-05-01 00:27:06 *	Demi2 (Mibbit@cloak-6C230D3E.dynamic.kabel-deutschland.de) has left
2023-05-01 00:27:14 <bakasi>	What the Heart Wants by AnnieM and KathyB"
2023-05-01 00:27:22 <bakasi>	Congratulations you two
2023-05-01 00:27:22 *	Demi2 (Mibbit@cloak-6C230D3E.dynamic.kabel-deutschland.de) has joined
2023-05-01 00:27:30 <bakasi>	Or three, to be more precise
2023-05-01 00:27:58 <KSaraSara>	I just... I... 
2023-05-01 00:28:10 *	Voice_Jockey removes voice from bakasi
2023-05-01 00:28:23 *	Demi (Mibbit@2BF9ACBE.E912E3C6.87CBF28.IP) has joined
2023-05-01 00:28:34 <KSaraSara>	So honestly... I wrote a TON last year... 18/100 stories this year... so it's... I had a train of thought and lost it. 
2023-05-01 00:29:04 *	Demi2 (Mibbit@cloak-6C230D3E.dynamic.kabel-deutschland.de) has left
2023-05-01 00:29:17 *	bakasi has quit (Quit: https://mibbit.com Online IRC Client)
2023-05-01 00:29:31 <KSaraSara>	GAH... while I really love so many of the stories that I had nominated this year in other categories, and I'm a little sad I didn't win in some... (It's hard to be sad when the competition WAS SOOOOO GOOOD). 
2023-05-01 00:29:57 <KSaraSara>	I'm just really, really... touched that THIS story won something.
2023-05-01 00:30:53 <KSaraSara>	I... honestly don't know what to say... which... I know Michael is going to give me crap about because I usually talk forever...so I guess... read my author's note. That says it all... well, most of it. 
2023-05-01 00:31:32 <KSaraSara>	This story was very personal--very much therapy for me--and it's even more special now to have other people recognize it. So thank you!!! 
2023-05-01 00:31:43 *	KSaraSara cries a bit as she hands the mic to Annie and Kathy
2023-05-01 00:32:32 <AnnieM>	Thank you all so much. Truly it's an honor. And it's especially an honor to share the honor with such a wonderful story.
2023-05-01 00:32:36 *	Demi has quit (Quit: Demi)
2023-05-01 00:33:19 *	KathyB hugs KSaraSara ... well deserved!
2023-05-01 00:33:34 <KathyB>	But don't go too far, my friend ....
2023-05-01 00:33:44 <KathyB>	Please welcome KSaraSara back to the stage to present our newest award, for Best Original Fanart!
2023-05-01 00:34:10 *	KSaraSara hastily wipes eyes
2023-05-01 00:34:43 <KSaraSara>	We’re really thrilled to introduce fanart to the Kerths this year! While fanfic really is the lifeblood of our fandom, FoLC talent doesn’t stop there! 
2023-05-01 00:35:00 <KSaraSara>	Our creativity and skill as a fandom is boundless. Whether it’s stunning graphical images or evocative videos, we’re so lucky to be gifted with a visual medium as well as the textual. This year, we have four pieces of fanart that made it to our short list. They are...
2023-05-01 00:35:22 <KSaraSara>	2022 Blue Christmas graphic banner by Folc4evernaday
2023-05-01 00:35:22 <KSaraSara>	Graphic banner 4 by Carrie Rene
2023-05-01 00:35:22 <KSaraSara>	Hungry Eyes by Eric Carmen music video by lovetvfan
2023-05-01 00:35:22 <KSaraSara>	On Your Shore by Charlotte Martin music video by lovetvfan
2023-05-01 00:35:52 <KSaraSara>	And the winner is...
2023-05-01 00:36:21 <KSaraSara>	Hungry Eyes by Eric Carmen music video by lovetvfan
2023-05-01 00:36:24 *	Voice_Jockey gives channel operator status to lovetvfan
2023-05-01 00:36:27 <KSaraSara>	Congrats, Twinnie!!!!!
2023-05-01 00:36:46 <lovetvfan>	Oh wow I came on just in time!!
2023-05-01 00:37:36 <lovetvfan>	Thank you! I only taught myself to make videos a couple years ago after seeing all the talent that existed in this fandom. Thank you!!
2023-05-01 00:38:52 <KathyB>	Congratulations, Sara!
2023-05-01 00:38:57 <KathyB>	And now, to present another new category, Best Commenter/Feedback Giver, we have AnnaBtG.
2023-05-01 00:39:00 *	Voice_Jockey gives voice to AnnaBtG
2023-05-01 00:39:24 <AnnaBtG>	This one right here is my favorite category in the awards, hands down.
2023-05-01 00:39:42 <AnnaBtG>	Because, as a writer, I know that we all write because we want to, because there’s this need in us to create and play with words. And we enjoy doing it, even if it can give us a hard time.
2023-05-01 00:40:06 <AnnaBtG>	But the thing is, fandom is more than just writing. None of the stories we are celebrating here would have seen the light of day if it weren’t for the people who leave comments.
2023-05-01 00:40:24 <AnnaBtG>	Those people who may or may not be writers, but who read what we share, who tell us what our stories made them feel, who shower us with love and praise, who give us feedback and suggestions, who encourage us to write more.
2023-05-01 00:40:46 <AnnaBtG>	They turn writing from a solitary hobby to a group experience; they are the literal backbone of fandom, offering this much needed support to all the writers and becoming the glue that binds us all together.
2023-05-01 00:41:13 <AnnaBtG>	Therefore, it’s only fair that they should get a share of the spotlight tonight!
2023-05-01 00:41:29 <AnnaBtG>	It goes without saying that every little comment counts and that everyone who has ever left a comment is a winner in my books, but here’s hoping that even the shyer people and the lurkers might want to follow the example of the lovely people on this list next year!
2023-05-01 00:41:44 <AnnaBtG>	Our beloved nominees are:
2023-05-01 00:42:07 <AnnaBtG>	Darth Michael
2023-05-01 00:42:11 <AnnaBtG>	KSaraSara
2023-05-01 00:42:22 <AnnaBtG>	Lynn S.M.
2023-05-01 00:42:31 <AnnaBtG>	Penny_Lane
2023-05-01 00:42:37 <AnnaBtG>	Queen of the Capes
2023-05-01 00:42:45 <AnnaBtG>	SuperBek
2023-05-01 00:43:00 <AnnaBtG>	And the winner is...
2023-05-01 00:43:33 <AnnaBtG>	KSaraSara!!! Congrats, girl!!
2023-05-01 00:43:44 *	Voice_Jockey removes voice from AnnaBtG
2023-05-01 00:44:26 *	lovetvfan has quit (Quit: https://mibbit.com Online IRC Client)
2023-05-01 00:45:15 <KSaraSara>	Heck! I am... speechless(wish) in a different way! And maybe it's just because when voting, I automatically discounted myself! I mean... I'm my own worst critic sometimes, so... 
2023-05-01 00:46:23 <KSaraSara>	(golly... I just typed a bunch and lost it... bahhh... hang with me)
2023-05-01 00:47:46 <KSaraSara>	But really, like Anna said, it was so hard to vote here because feedback is so important! And I'm just really honored to have this award...especially since I've come back, I'm just grateful to have my fandom still here and I'm feeling a bit maternal about it lately, so if I've made people feel happy with participating in this way, then that makes it so much more rewarding!
2023-05-01 00:48:49 <KSaraSara>	So... thank you! I honestly just want to share this award with ALLLL the people who leave fdk, whether it's just a kudos or an "aww" or it's miles long feedback line by line... 
2023-05-01 00:48:59 <KSaraSara>	Thank you!
2023-05-01 00:49:05 *	KSaraSara hands mic back to Kathy
2023-05-01 00:49:19 <KathyB>	Thanks, Sara. And congratulations to all of the winners so far! What an exciting day!
2023-05-01 00:49:26 <KathyB>	Now before we get to our final award, we have one final announcement to share with you all, concerning the future of the L&C Fanfic Message Boards. 
2023-05-01 00:49:33 <KathyB>	Thank you, everyone, for all you do for the Lois & Clark fandom! It’s such a testament to the amazing FoLC community that we’re still going strong after 30 years. And I know that with your support, we’ll continue well into the future. Should we shoot for 30 more? I hope so!
2023-05-01 00:49:54 <KathyB>	Right now, we are already funded for 2024 and most of 2025 even before we could do a major fundraiser. 
2023-05-01 00:50:08 <KathyB>	And that’s awesome! Since so many of us also love swag and because there is no such thing as being overfunded, we are in the process of mapping out another fundraiser. 
2023-05-01 00:50:14 <KathyB>	The last one was in 2014 and we got to auction off everything from little works of art you could take with you to labors of love done in word and picture. 
2023-05-01 00:50:21 <KathyB>	We will be announcing the details in a bit, this was just to give you guys a head’s up and get the creative juices flowing!
2023-05-01 00:50:50 <KathyB>	And now, what you’ve all been waiting for …
2023-05-01 00:50:55 <KathyB>	To present the award for Best Overall Story for 2022, please welcome Toomi to the stage!
2023-05-01 00:50:57 *	Voice_Jockey gives voice to Toomi
2023-05-01 00:51:03 <Toomi>	It's amazing how much time and effort, along with questionable browser histories, are poured into a story.
2023-05-01 00:51:17 <Toomi>	The one hundred stories that were eligible for this year's Kerth Awards represent hours, days, weeks, months, and even years - you know who you are - of work.
2023-05-01 00:51:27 <Toomi>	Of these one hundred, five were nominated for the Best Overall category.
2023-05-01 00:51:35 <Toomi>	And the nominees are:
2023-05-01 00:51:46 <Toomi>	Federal Disaster by lovetvfan
2023-05-01 00:51:53 <Toomi>	In the Right Now by AnnieM
2023-05-01 00:51:59 <Toomi>	Savior by SuperBek
2023-05-01 00:52:06 <Toomi>	So Far Away by KSaraSara
2023-05-01 00:52:08 <Toomi>	and
2023-05-01 00:52:15 <Toomi>	What the Heart Wants by AnnieM and KathyB
2023-05-01 00:52:21 <Toomi>	And the winner is.....
2023-05-01 00:52:37 <Toomi>	What the Heart Wants by AnnieM and KathyB!
2023-05-01 00:53:31 *	Voice_Jockey removes voice from Toomi
2023-05-01 00:53:57 <AnnieM>	 I'm overwhelmed by all the love for this story tonight. Thank you all so much. To be completely honest, this has been a rough couple of years for me and this story was very much my happy place. This was where I went when I needed to escape into a world that happy and hopeful.
2023-05-01 00:54:40 <AnnieM>	When I was first plotting it out, I was thinking about all the trauma the characters went through on the show. All the near death experiences and derailed weddings. 
2023-05-01 00:55:00 <AnnieM>	I had just finished writing Come to Me, which tried to deal with those traumas and the fallout from them in a realistic way
2023-05-01 00:55:27 *	Toomi (Mibbit@cloak-71D871AA.cg.shawcable.net) has left
2023-05-01 00:55:28 <AnnieM>	And I wanted to do something entirely different. I wanted a world where they never had to face those traumas at all. Where they could fall in love as just normal people.
2023-05-01 00:56:13 <AnnieM>	Now, clearly there was drama along the way ;) but I did manage to give them all the happiness I thought they deserved. And I'm so glad the readers enjoyed that ride as much as I enjoyed writing it.
2023-05-01 00:57:15 *	KathyB hugs Annie really hard
2023-05-01 00:57:37 <AnnieM>	And finally, a huge thanks to Kathy. Who got dragged into this project as a beta reader and then conscripted into the role of co-author. She went above and beyond, as she always does.
2023-05-01 00:57:46 <AnnieM>	 And I will never be able to put into words how happy it makes to me wake up in the morning from a message from her that starts "I was up in the middle of the night thinking about that scene where...."
2023-05-01 00:58:08 <AnnieM>	This whole process was a joy, and this award means the world to us! Thank you all!
2023-05-01 00:58:23 <KathyB>	Thank you, to everyone who voted, and especially thank you to Annie, who let me tag along on this incredible journey. And yes, this was literally a story that made me wake up at 3 am, grab my phone, and text her my thoughts in the middle of the night, LOL!
2023-05-01 00:58:46 <KathyB>	Thank you, all, from the bottom of our hearts!
2023-05-01 00:59:06 <KathyB>	And with that, I can't believe the 2023 Kerths are in the books!
2023-05-01 00:59:07 <KathyB>	What an exciting night! We’re so delighted you could all join us today, and we can’t wait to see what 2023 will bring for L&C fanfic. One final announcement before we wrap up the ceremony, the 25th Annual Kerth Awards.
2023-05-01 00:59:20 <KathyB>	Our website kerthawards.com is going to be moving to a new home during the first week of May. While we will try to keep the move interruption free, it’s the first move done in years. 
2023-05-01 00:59:26 <KathyB>	This means it is possible that the Kerth website might be unreachable for a day or so until the Internet name system catches up with the new address. So, if you notice anything, please don’t panic, it’s all part of a scheduled maintenance operation.
2023-05-01 00:59:41 <KathyB>	And with that, we're done! Please stick around in #kerthchat to congratulate the winners and enjoy chatting with your fellow FoLCs. Have a wonderful rest of your day, everyone! See you next year!
2023-05-01 01:00:22 <KSaraSara>	(Or... if Discord is more comfortable... heh...)
2023-05-01 01:00:39 <KathyB>	Or Discord! Ha!
2023-05-01 01:01:10 *	Songbird has quit (Quit: https://mibbit.com Online IRC Client)
2023-05-01 01:02:13 *	Voice_Jockey has quit (Quit: Leaving)
2023-05-01 01:05:12 *	lovetvfan_sock has quit (Quit: https://mibbit.com Online IRC Client)
2023-05-01 01:08:02 *	KSaraSara has quit (Quit: Leaving)
2023-05-01 01:08:10 *	CRene has quit (Quit: https://mibbit.com Online IRC Client)
2023-05-01 01:09:09 *	Meadowlark (Mibbit@cloak-C85C35F7.mobile.att.net) has left
2023-05-01 01:12:52 *	KathyB has quit (Quit: https://mibbit.com Online IRC Client)
2023-05-01 01:15:33 *	AnnieM has quit (Quit: https://mibbit.com Online IRC Client)
2023-05-01 01:23:28 *	Bek (~Bek3@D4E09ECA.9C2451E.9403BAE5.IP) has left
2023-05-01 02:10:46 *	Disconnected ()
